president|link
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11121-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocaiao-de-inauguracao-do-centro-de-estudos-brasileiros-pequim-19-de-maio-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11122-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-seminario-brasil-china-novas-oportunidades-para-a-parceria-estrategica-pequim-19-de-maio-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11123-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-almoco-na-camara-de-comercio-na-arabia-saudita-riade-17-de-maio-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11124-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-comemoracao-ao-dia-do-diplomata-palacio-itamaraty-07-de-maio-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11125-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-almoco-oferecido-pela-presidente-da-argentina-cristina-kirchner-buenos-aires-23-de-abril-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11126-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-primeira-sessao-plenaria-da-5-cupula-das-americas-port-of-spain-18-de-abril-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11127-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-segunda-sessao-plenaria-da-5-cupula-das-americas-port-of-spain-18-de-abril-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11128-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-plenaria-de-abertura-do-forum-economico-mundial-america-latina-rio-de-janeiro-15-de-abril-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11129-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-no-palais-de-l-elysee-paris-1-de-abril-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11130-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-primeira-sessao-da-cupula-de-lideres-progressistas-vina-del-mar-28-de-marco-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11131-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-segunda-sessao-da-cupula-de-lideres-progressistas-vina-del-mar-28-de-marco-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11132-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-seminario-brasil-parceiro-global-em-uma-nova-economia-estrategias-solidas-para-momentos-desafiadores-nova-york-16-de-marco-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11134-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-visita-do-presidente-do-uruguai-tabare-vazquez-brasilia-10-de-marco-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11135-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-assinatura-de-atos-durante-a-visita-do-presidente-da-colombia-alvaro-uribe-palacio-do-planalto-17-de-fevereiro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11136-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-almoco-oferecido-ao-presidente-da-republica-da-namibia-hifikepunye-pohamba-palacio-itamaraty-11-de-fevereiro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11139-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-encontro-com-participantes-do-forum-social-mundial-2009-painel-america-latina-e-o-desafio-da-crise-internacional-belem-29-de-janeiro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11141-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-solenidade-do-dia-internacional-em-memoria-das-vitimas-do-holocausto-sao-paulo-27-de-janeiro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11143-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-encontro-bilateral-com-o-presidente-da-bolivia-evo-morales-ladario-15-de-janeiro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11145-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-assinatura-de-atos-com-o-presidente-da-venezuela-hugo-chavez-maracaibo-16-de-janeiro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11147-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-entrega-dos-trechos-arroyo-concepcion-el-carmen-e-el-carmen-robore-do-corredor-bioceanico-arroyo-concepcion-15-de-janeiro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12232-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-assinatura-de-atos-rio-de-janeiro-23-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12233-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-reuniao-da-cupula-brasil-uniao-europeia-rio-de-janeiro-22-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12235-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-no-seminario-empresarial-parceria-brasil-ue-desafios-e-oportunidades-para-os-proximos-anos-rio-de-janeiro-22-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12242-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-lancamento-da-estrategia-nacional-de-defesa-brasilia-18-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12244-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-almoco-oferecido-ao-presidente-da-republica-de-cuba-raul-castro-brasilia-18-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12249-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-encerramento-da-cupula-da-america-latina-e-do-caribe-sobre-integracao-e-desenvolvimento-calc-costa-do-sauipe-17-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12251-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-cupula-do-grupo-do-rio-costa-do-sauipe-16-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12253-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-abertura-da-cupula-da-america-latina-e-do-caribe-sobre-integracao-e-desenvolvimento-calc-costa-do-sauipe-16-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12255-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-xxxvi-cupula-de-chefes-de-estado-do-mercosul-costa-do-sauipe-16-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/12259-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-forum-brasileiro-de-mudancas-climaticas-brasilia-1-de-dezembro-de-2008
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/5932-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-durante-cerimonia-de-posse-solene-do-conselho-de-representantes-brasileiros-no-exterior-no-ambito-da-3-conferencia-brasileiros-no-mundo-rio-de-janeiro-03-de-dezembro-de-2010
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/5933-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-visita-do-presidente-da-zambia-rupiah-banda-ao-brasil-brasilia-18-de-novembro-de-2010
